재료명,카테고리,수량,단위,유통기한,구매일
달걀,축산물,5,개,2026-08-07,2026-07-15
삼겹살,축산물,200,g,2026-07-27,2026-07-23
소고기 국거리,축산물,150,g,2026-07-30,2026-07-22
베이컨,축산물,80,g,2026-08-08,2026-07-18
비엔나 소시지,가공식품,120,g,2026-09-15,2026-07-05
고등어,수산물,1,토막,2026-07-26,2026-07-23
오징어,수산물,1,마리,2026-07-29,2026-07-22
바지락,수산물,150,g,2026-07-29,2026-07-23
냉동 새우,수산물,100,g,2026-12-31,2026-06-20
우유,유제품,500,ml,2026-07-28,2026-07-20
생크림,유제품,100,ml,2026-07-27,2026-07-21
버터,유제품,50,g,2026-10-15,2026-06-28
모짜렐라 치즈,유제품,100,g,2026-08-12,2026-07-12
그릭 요거트,유제품,200,g,2026-07-22,2026-07-10
두부,가공식품,반,모,2026-07-27,2026-07-22
김치,반찬,300,g,2026-09-30,2026-07-01
어묵,가공식품,100,g,2026-08-02,2026-07-19
스팸,가공식품,1,캔,2027-05-01,2026-06-15
파스타면,가공식품,200,g,2027-08-01,2026-05-10
우동면,가공식품,1,인분,2026-08-06,2026-07-18
또띠아,베이커리,3,장,2026-08-04,2026-07-19
식빵,베이커리,4,장,2026-07-27,2026-07-22
카레 가루,소스·양념,50,g,2027-02-01,2026-04-22
굴소스,소스·양념,120,ml,2027-06-01,2026-03-15
토마토 소스,소스·양념,150,g,2026-09-10,2026-07-05
고추장,소스·양념,200,g,2027-01-10,2026-02-01
대파,채소,1,대,2026-07-30,2026-07-19
쪽파,채소,반,단,2026-07-26,2026-07-22
양파,채소,2,개,2026-08-22,2026-07-10
다진 마늘,채소,50,g,2026-08-03,2026-07-15
감자,채소,3,개,2026-08-18,2026-07-12
가지,채소,1,개,2026-07-30,2026-07-22
오이,채소,2,개,2026-08-02,2026-07-21
깻잎,채소,10,장,2026-07-26,2026-07-22
숙주,채소,150,g,2026-07-25,2026-07-23
청양고추,채소,3,개,2026-07-31,2026-07-20
파프리카,채소,1,개,2026-07-31,2026-07-20
새송이버섯,버섯,1,개,2026-07-29,2026-07-21
팽이버섯,버섯,1,봉,2026-07-27,2026-07-22
방울토마토,과일,150,g,2026-07-30,2026-07-20
레몬,과일,1,개,2026-08-10,2026-07-15
아보카도,과일,1,개,2026-07-27,2026-07-21
밥(즉석밥),가공식품,2,개,2027-03-01,2026-07-01
